AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1627.00, GY: -260.00, GZ: 20.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1619.00, GY: -289.00, GZ: 44.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1610.00, GY: -262.00, GZ: 58.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1610.00, GY: -250.00, GZ: 6.00
AX: 0.01, AY: -0.00, AZ: -0.98, GX: -1601.00, GY: -287.00, GZ: -33.00
AX: 0.02, AY: 0.00, AZ: -0.99, GX: -1624.00, GY: -263.00, GZ: 24.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1576.00, GY: -253.00, GZ: -21.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1598.00, GY: -269.00, GZ: 33.00
AX: 0.01, AY: 0.00, AZ: -0.99, GX: -1585.00, GY: -283.00, GZ: 58.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1604.00, GY: -260.00, GZ: 12.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1624.00, GY: -256.00, GZ: 15.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1621.00, GY: -268.00, GZ: 9.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1595.00, GY: -261.00, GZ: -16.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1613.00, GY: -267.00, GZ: 19.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1607.00, GY: -261.00, GZ: 13.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1625.00, GY: -257.00, GZ: 11.00
AX: 0.01, AY: 0.01, AZ: -0.98, GX: -1623.00, GY: -284.00, GZ: 13.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1628.00, GY: -307.00, GZ: 32.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1592.00, GY: -276.00, GZ: 51.00
AX: 0.02, AY: -0.00, AZ: -1.00, GX: -1598.00, GY: -245.00, GZ: 23.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1603.00, GY: -259.00, GZ: -14.00
AX: 0.01, AY: 0.00, AZ: -1.00, GX: -1627.00, GY: -305.00, GZ: 28.00
AX: 0.01, AY: -0.01, AZ: -1.00, GX: -1614.00, GY: -273.00, GZ: 0.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1604.00, GY: -270.00, GZ: -15.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1599.00, GY: -288.00, GZ: -2.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1635.00, GY: -269.00, GZ: -21.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1565.00, GY: -272.00, GZ: -22.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1600.00, GY: -288.00, GZ: 45.00
AX: 0.01, AY: 0.00, AZ: -0.99, GX: -1577.00, GY: -272.00, GZ: 4.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1597.00, GY: -286.00, GZ: 8.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1612.00, GY: -263.00, GZ: -8.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1612.00, GY: -273.00, GZ: -15.00
AX: 0.02, AY: -0.00, AZ: -1.00, GX: -1614.00, GY: -257.00, GZ: 44.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1594.00, GY: -257.00, GZ: 1.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1636.00, GY: -279.00, GZ: 19.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1597.00, GY: -254.00, GZ: -25.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1624.00, GY: -272.00, GZ: 24.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1609.00, GY: -266.00, GZ: -14.00
AX: 0.01, AY: -0.01, AZ: -1.00, GX: -1606.00, GY: -263.00, GZ: -19.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1593.00, GY: -270.00, GZ: 3.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1600.00, GY: -285.00, GZ: -3.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1631.00, GY: -305.00, GZ: -13.00
AX: 0.01, AY: -0.00, AZ: -1.00, GX: -1638.00, GY: -261.00, GZ: 12.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1620.00, GY: -278.00, GZ: -4.00
AX: 0.01, AY: -0.00, AZ: -1.00, GX: -1614.00, GY: -278.00, GZ: 0.00
