AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1605.00, GY: -305.00, GZ: -30.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1593.00, GY: -300.00, GZ: -31.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1558.00, GY: -310.00, GZ: -54.00
AX: -0.05, AY: 0.01, AZ: -1.00, GX: -1610.00, GY: -306.00, GZ: -11.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1550.00, GY: -317.00, GZ: -65.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1587.00, GY: -276.00, GZ: -4.00
AX: -0.05, AY: 0.01, AZ: -0.99, GX: -1565.00, GY: -312.00, GZ: -10.00
AX: -0.03, AY: 0.00, AZ: -1.00, GX: -1576.00, GY: -271.00, GZ: -26.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1596.00, GY: -301.00, GZ: -23.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1601.00, GY: -268.00, GZ: -25.00
AX: -0.05, AY: -0.00, AZ: -1.00, GX: -1610.00, GY: -270.00, GZ: 10.00
AX: -0.05, AY: 0.01, AZ: -1.00, GX: -1627.00, GY: -287.00, GZ: 4.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1566.00, GY: -271.00, GZ: -8.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1601.00, GY: -289.00, GZ: -37.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1610.00, GY: -296.00, GZ: -21.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1575.00, GY: -257.00, GZ: -22.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1628.00, GY: -293.00, GZ: -17.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1580.00, GY: -275.00, GZ: -7.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1573.00, GY: -288.00, GZ: -22.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1590.00, GY: -316.00, GZ: 1.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1596.00, GY: -260.00, GZ: -27.00
AX: -0.05, AY: -0.00, AZ: -1.00, GX: -1589.00, GY: -277.00, GZ: -21.00
AX: -0.03, AY: 0.00, AZ: -0.99, GX: -1597.00, GY: -266.00, GZ: -14.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1589.00, GY: -278.00, GZ: -56.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1575.00, GY: -292.00, GZ: -55.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1645.00, GY: -288.00, GZ: -8.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1627.00, GY: -266.00, GZ: -27.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1544.00, GY: -298.00, GZ: -28.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1582.00, GY: -283.00, GZ: -32.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1582.00, GY: -292.00, GZ: -27.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1601.00, GY: -261.00, GZ: -19.00
